article_number,article_title,article_text,book,title,chapter,section,annotations
1,Izvoarele dreptului civil,"(1) Sunt izvoare ale dreptului civil legea, uzanțele și principiile generale ale dreptului.
(2) În cazurile neprevăzute de lege se aplică uzanțele, iar în lipsa acestora, dispozițiile legale privitoare la situații asemănătoare, iar când nu există asemenea dispoziții, principiile generale ale dreptului.
(3) În materiile reglementate prin lege, uzanțele se aplică numai în măsura în care legea trimite în mod expres la acestea.
(4) Numai uzanțele conforme ordinii publice și bunelor moravuri sunt recunoscute ca izvoare de drept.
(5) Partea interesată trebuie să facă dovada existenței și a conținutului uzanțelor. Uzanțele publicate în culegeri elaborate de către entitățile sau organismele autorizate în domeniu se prezumă că există, până la proba contrară.
(6) În sensul prezentului cod, prin uzanțe se înțelege obiceiul (cutuma) și uzurile profesionale.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul I Dispoziții generale,,"Notă
**) Dispozițiile de punere în aplicare a titlului preliminar sunt cuprinse în art. 8 din Legea nr. 71/2011."
2,Obiectul și conținutul Codului civil,"(1) Dispozițiile prezentului cod reglementează raporturile patrimoniale și nepatrimoniale dintre persoane, ca subiecte de drept civil.
(2) Prezentul cod este alcătuit dintr-un ansamblu de reguli care constituie dreptul comun pentru toate domeniile la care se referă litera sau spiritul dispozițiilor sale.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul I Dispoziții generale,,
3,Aplicarea generală a Codului civil,"(1) Dispozițiile prezentului cod se aplică și raporturilor dintre profesioniști, precum și raporturilor dintre aceștia și orice alte subiecte de drept civil.
(2) Sunt considerați profesioniști toți cei care exploatează o întreprindere.
(3) Constituie exploatarea unei întreprinderi exercitarea sistematică, de către una sau mai multe persoane, a unei activități organizate ce constă în producerea, administrarea ori înstrăinarea de bunuri sau în prestarea de servicii, indiferent dacă are sau nu un scop lucrativ.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul I Dispoziții generale,,
4,Aplicarea prioritară a tratatelor internaționale privind drepturile omului,"(1) În materiile reglementate de prezentul cod, dispozițiile privind drepturile și libertățile persoanelor vor fi interpretate și aplicate în concordanță cu Constituția, Declarația Universală a Drepturilor Omului, pactele și celelalte tratate la care România este parte.
(2) Dacă există neconcordanțe între pactele și tratatele privitoare la drepturile fundamentale ale omului, la care România este parte, și prezentul cod, au prioritate reglementările internaționale, cu excepția cazului în care prezentul cod conține dispoziții mai favorabile.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul I Dispoziții generale,,
5,Aplicarea prioritară a dreptului Uniunii Europene,"În materiile reglementate de prezentul cod, normele dreptului Uniunii Europene se aplică în mod prioritar, indiferent de calitatea sau statutul părților.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul I Dispoziții generale,,
6,Aplicarea în timp a legii civile,"(1) Legea civilă este aplicabilă cât timp este în vigoare. Aceasta nu are putere retroactivă.
(2) Actele și faptele juridice încheiate ori, după caz, săvârșite sau produse înainte de intrarea în vigoare a legii noi nu pot genera alte efecte juridice decât cele prevăzute de legea în vigoare la data încheierii sau, după caz, a săvârșirii ori producerii lor.
(3) Actele juridice nule, anulabile sau afectate de alte cauze de ineficacitate la data intrării în vigoare a legii noi sunt supuse dispozițiilor legii vechi, neputând fi considerate valabile ori, după caz, eficace potrivit dispozițiilor legii noi.
(4) Prescripțiile, decăderile și uzucapiunile începute și neîmplinite la data intrării în vigoare a legii noi sunt în întregime supuse dispozițiilor legale care le-au instituit.
(5) Dispozițiile legii noi se aplică tuturor actelor și faptelor încheiate sau, după caz, produse ori săvârșite după intrarea sa în vigoare, precum și situațiilor juridice născute după intrarea sa în vigoare.
(6) Dispozițiile legii noi sunt de asemenea aplicabile și efectelor viitoare ale situațiilor juridice născute anterior intrării în vigoare a acesteia, derivate din starea și capacitatea persoanelor, din căsătorie, filiație, adopție și obligația legală de întreținere, din raporturile de proprietate, inclusiv regimul general al bunurilor, și din raporturile de vecinătate, dacă aceste situații juridice subzistă după intrarea în vigoare a legii noi.
Decizie de admitere: RIL nr. 13/2022, publicată în Monitorul Oficial nr. 907 din 15 septembrie 2022:
1. Regimul juridic aplicabil prescripției dreptului de a obține executarea silită a ipotecii este guvernat de normele de drept substanțial în vigoare la momentul nașterii dreptului creditorului ipotecar de a obține executarea creanței garantate, fiind lipsită de relevanță norma procesuală aplicabilă procedurii de executare silită.
2. Dreptul de a obține executarea silită în temeiul contractului de ipotecă se stinge, pe cale accesorie, prin efectul prescripției executării silite a creanței întemeiate pe contractul de credit, dacă aceasta din urmă începe să curgă anterior datei de 1 octombrie 2011.
3. În cazul în care prescripția dreptului de a obține executarea silită a creanței garantate începe să curgă după 1 octombrie 2011 (inclusiv), executarea silită a ipotecii nu se stinge, pe cale accesorie, chiar dacă dreptul de a obține executarea silită a creanței principale este prescris, situație în care termenul de prescripție aplicabil este de:
– 3 ani, potrivit art. 405 alin. 1 teza I din Codul de procedură civilă din 1865, dacă prescripția dreptului creditorului ipotecar de a obține executarea silită în temeiul contractului de credit a început să curgă în intervalul 1 octombrie 2011-14 februarie 2013;
– 10 ani, potrivit art. 706 alin. (1) teza a II-a din Codul de procedură civilă, dacă prescripția dreptului creditorului ipotecar de a obține executarea silită în temeiul contractului de credit a început să curgă după 15 februarie 2013 (inclusiv).",,Titlul PRELIMINAR Despre legea civilă**),Capitolul II Aplicarea legii civile,,Notă
7,Teritorialitatea legii civile,"(1) Actele normative adoptate de autoritățile și instituțiile publice centrale se aplică pe întreg teritoriul țării, afară de cazul în care se prevede altfel.
(2) Actele normative adoptate, în condițiile legii, de autoritățile și instituțiile administrației publice locale se aplică numai în raza lor de competență teritorială.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul II Aplicarea legii civile,,
8,Extrateritorialitatea legii civile,"În cazul raporturilor juridice cu element de extraneitate, determinarea legii civile aplicabile se face ținându-se seama de normele de drept internațional privat cuprinse în cartea a VII-a din prezentul cod.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul II Aplicarea legii civile,,
9,Interpretarea legii,"(1) Cel care a adoptat norma civilă este competent să facă și interpretarea ei oficială.
(2) Norma interpretativă produce efecte numai pentru viitor.
(3) Interpretarea legii de către instanță se face numai în scopul aplicării ei în cazul dedus judecății.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul III Interpretarea și efectele legii civile,,
10,Interzicerea analogiei,"Legile care derogă de la o dispoziție generală, care restrâng exercițiul unor drepturi civile sau care prevăd sancțiuni civile se aplică numai în cazurile expres și limitativ prevăzute de lege.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul III Interpretarea și efectele legii civile,,
11,Respectarea ordinii publice și a bunelor moravuri,Nu se poate deroga prin convenții sau acte juridice unilaterale de la legile care interesează ordinea publică sau de la bunele moravuri.,,Titlul PRELIMINAR Despre legea civilă**),Capitolul III Interpretarea și efectele legii civile,,
12,Libertatea de a dispune,"(1) Oricine poate dispune liber de bunurile sale, dacă legea nu prevede în mod expres altfel.
(2) Nimeni nu poate dispune cu titlu gratuit, dacă este insolvabil.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul III Interpretarea și efectele legii civile,,
13,Renunțarea la drept,Renunțarea la un drept nu se prezumă.,,Titlul PRELIMINAR Despre legea civilă**),Capitolul III Interpretarea și efectele legii civile,,
14,Buna-credință,"(1) Orice persoană fizică sau persoană juridică trebuie să își exercite drepturile și să își execute obligațiile civile cu bună-credință, în acord cu ordinea publică și bunele moravuri.
(2) Buna-credință se prezumă până la proba contrară.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul III Interpretarea și efectele legii civile,,
15,Abuzul de drept,"Niciun drept nu poate fi exercitat în scopul de a vătăma sau păgubi pe altul ori într-un mod excesiv și nerezonabil, contrar bunei-credințe.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul III Interpretarea și efectele legii civile,,
16,Vinovăția,"(1) Dacă prin lege nu se prevede altfel, persoana răspunde numai pentru faptele sale săvârșite cu intenție sau din culpă.
(2) Fapta este săvârșită cu intenție când autorul prevede rezultatul faptei sale și fie urmărește producerea lui prin intermediul faptei, fie, deși nu îl urmărește, acceptă posibilitatea producerii acestui rezultat.
(3) Fapta este săvârșită din culpă când autorul fie prevede rezultatul faptei sale, dar nu îl acceptă, socotind fără temei că nu se va produce, fie nu prevede rezultatul faptei, deși trebuia să îl prevadă. Culpa este gravă atunci când autorul a acționat cu o neglijență sau imprudență pe care nici persoana cea mai lipsită de dibăcie nu ar fi manifestat-o față de propriile interese.
(4) Atunci când legea condiționează efectele juridice ale unei fapte de săvârșirea sa din culpă, condiția este îndeplinită și dacă fapta a fost săvârșită cu intenție.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul III Interpretarea și efectele legii civile,,
17,Eroarea comună și invincibilă,"(1) Nimeni nu poate transmite sau constitui mai multe drepturi decât are el însuși.
(2) Cu toate acestea, când cineva, împărtășind o credință comună și invincibilă, a considerat că o persoană are un anumit drept sau o anumită calitate juridică, instanța judecătorească, ținând seama de împrejurări, va putea hotărî că actul încheiat în această stare va produce, față de cel aflat în eroare, aceleași efecte ca și când ar fi valabil, afară de cazul în care desființarea lui nu i-ar cauza niciun prejudiciu.
(3) Eroarea comună și invincibilă nu se prezumă.
(4) Dispozițiile prezentului articol nu sunt aplicabile în materie de carte funciară și nici în alte materii în care legea reglementează un sistem de publicitate.",,Titlul PRELIMINAR Despre legea civilă**),Capitolul III Interpretarea și efectele legii civile,,
18,Obiectul publicității și modalitățile de realizare,"(1) Drepturile, actele și faptele privitoare la starea și capacitatea persoanelor, cele în legătură cu bunurile care aparțin acestora, precum și orice alte raporturi juridice sunt supuse publicității în cazurile expres prevăzute de lege.
(2) Publicitatea se realizează prin cartea funciară, Arhiva Electronică de Garanții Reale Mobiliare, denumită în cuprinsul prezentului cod și arhivă, prin registrul comerțului, precum și prin alte forme de publicitate prevăzute de lege.",,Titlul PRELIMINAR Despre legea civilă**),"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
19,Condițiile de publicitate,"(1) Procedura și condițiile de publicitate se stabilesc prin lege.
(2) Îndeplinirea formalității de publicitate poate fi cerută de orice persoană, chiar dacă este lipsită de capacitatea de exercițiu.
(3) Orice renunțare sau restrângere a dreptului de a îndeplini o formalitate de publicitate, precum și orice clauză penală sau altă sancțiune stipulată pentru a împiedica exercitarea acestui drept sunt considerate nescrise.
(4) Nimeni nu poate invoca faptul că nu a cunoscut dreptul, actul sau faptul supus publicității, dacă formalitatea de publicitate a fost legal îndeplinită.",,Titlul PRELIMINAR Despre legea civilă**),"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
20,Efectele publicității,"(1) Publicitatea asigură opozabilitatea dreptului, actului, faptului, precum și a oricărui alt raport juridic supus publicității, stabilește rangul acestora și, dacă legea prevede în mod expres, condiționează constituirea sau efectele lor juridice.
(2) Între părți sau succesorii lor, universali ori cu titlu universal, după caz, drepturile, actele sau faptele juridice, precum și orice alte raporturi juridice produc efecte depline, chiar dacă nu au fost îndeplinite formalitățile de publicitate, afară de cazul în care prin lege se dispune altfel.
(3) Publicitatea nu validează dreptul, actul sau faptul supus ori admis la publicitate. Cu toate acestea, în cazurile și condițiile expres prevăzute de lege, ea poate produce efecte achizitive în favoarea terților dobânditori de bună-credință.
(4) Publicitatea nu întrerupe cursul prescripției extinctive, afară de cazul în care prin lege se dispune altfel.",,Titlul PRELIMINAR Despre legea civilă**),"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
21,Prezumțiile,"(1) Dacă un drept, act sau fapt a fost înscris într-un registru public, se prezumă că el există, cât timp nu a fost radiat sau modificat în condițiile legii.
(2) În cazul în care un drept, act sau fapt a fost radiat, se prezumă că el nu există.",,Titlul PRELIMINAR Despre legea civilă**),"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
22,Lipsa publicității. Sancțiuni,"(1) Dacă formalitatea de publicitate nu a fost realizată, iar aceasta nu era prevăzută de lege cu caracter constitutiv, drepturile, actele, faptele sau alte raporturi juridice supuse publicității sunt inopozabile terților, afară de cazul în care se dovedește că aceștia le-au cunoscut pe altă cale.
(2) Atunci când legea prevede că simpla cunoaștere de fapt nu suplinește lipsa de publicitate, absența acesteia poate fi invocată de orice persoană interesată, inclusiv de terțul care a cunoscut, pe altă cale, dreptul, actul, faptul sau raportul juridic supus publicității.
(3) În toate cazurile însă, simpla cunoaștere a dreptului, actului, faptului sau raportului juridic nu suplinește lipsa de publicitate față de alte persoane decât terțul care, în fapt, le-a cunoscut.",,Titlul PRELIMINAR Despre legea civilă**),"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
23,Concursul dintre formele de publicitate,"Dacă un drept, act, fapt sau orice raport juridic este supus în același timp unor formalități de publicitate diferite, neefectuarea unei cerințe de publicitate nu este acoperită de îndeplinirea alteia.",,Titlul PRELIMINAR Despre legea civilă**),"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
24,Consultarea registrelor publice,"Orice persoană, chiar fără a justifica un interes, poate, în condițiile legii, să consulte registrele publice privitoare la un drept, act, fapt sau o anumită situație juridică și să obțină extrase sau copii certificate de pe acestea.
*) Dispozițiile tranzitorii și de punere în aplicare a cărții I sunt cuprinse în art. 13-19 din Legea nr. 71/2011.",,Titlul PRELIMINAR Despre legea civilă**),"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,Notă
25,Subiectele de drept civil,"(1) Subiectele de drept civil sunt persoanele fizice și persoanele juridice.
(2) Persoana fizică este omul, privit individual, ca titular de drepturi și de obligații civile.
(3) Persoana juridică este orice formă de organizare care, întrunind condițiile cerute de lege, este titulară de drepturi și de obligații civile.",Cartea I Despre persoane*),Titlul I Dispoziții generale,"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
26,Recunoașterea drepturilor și libertăților civile,"Drepturile și libertățile civile ale persoanelor fizice, precum și drepturile și libertățile civile ale persoanelor juridice sunt ocrotite și garantate de lege.",Cartea I Despre persoane*),Titlul I Dispoziții generale,"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
27,Cetățenii străini și apatrizii,"(1) Cetățenii străini și apatrizii sunt asimilați, în condițiile legii, cu cetățenii români, în ceea ce privește drepturile și libertățile lor civile.
(2) Asimilarea se aplică în mod corespunzător și persoanelor juridice străine.",Cartea I Despre persoane*),Titlul I Dispoziții generale,"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
28,Capacitatea civilă,"(1) Capacitatea civilă este recunoscută tuturor persoanelor.
(2) Orice persoană are capacitate de folosință și, cu excepția cazurilor prevăzute de lege, capacitate de exercițiu.",Cartea I Despre persoane*),Titlul I Dispoziții generale,"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
29,Limitele capacității civile,"(1) Nimeni nu poate fi îngrădit în capacitatea de folosință sau lipsit, în tot sau în parte, de capacitatea de exercițiu, decât în cazurile și condițiile expres prevăzute de lege.
(2) Nimeni nu poate renunța, în tot sau în parte, la capacitatea de folosință sau la capacitatea de exercițiu.",Cartea I Despre persoane*),Titlul I Dispoziții generale,"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
30,Egalitatea în fața legii civile,"Rasa, culoarea, naționalitatea, originea etnică, limba, religia, vârsta, sexul sau orientarea sexuală, opinia, convingerile personale, apartenența politică, sindicală, la o categorie socială ori la o categorie defavorizată, averea, originea socială, gradul de cultură, precum și orice altă situație similară nu au nicio influență asupra capacității civile.",Cartea I Despre persoane*),Titlul I Dispoziții generale,"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
31,Patrimoniul. Mase patrimoniale și patrimonii de afectațiune,"(1) Orice persoană fizică sau persoană juridică este titulară a unui patrimoniu care include toate drepturile și datoriile ce pot fi evaluate în bani și aparțin acesteia.
(2) Acesta poate face obiectul unei diviziuni sau unei afectațiuni numai în cazurile și condițiile prevăzute de lege.
(3) Patrimoniile de afectațiune sunt masele patrimoniale fiduciare, constituite potrivit dispozițiilor titlului IV al cărții a III-a, cele afectate exercitării unei profesii autorizate, precum și alte patrimonii determinate potrivit legii.",Cartea I Despre persoane*),Titlul I Dispoziții generale,"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
32,Transferul intrapatrimonial,"(1) În caz de diviziune sau afectațiune, transferul drepturilor și obligațiilor dintr-o masă patrimonială în alta, în cadrul aceluiași patrimoniu, se face cu respectarea condițiilor prevăzute de lege și fără a prejudicia drepturile creditorilor asupra fiecărei mase patrimoniale.
(2) În toate cazurile prevăzute la alin. (1), transferul drepturilor și obligațiilor dintr-o masă patrimonială în alta nu constituie o înstrăinare.",Cartea I Despre persoane*),Titlul I Dispoziții generale,"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
